ITEM_ID,GENRES,YEAR,CREATION_TIMESTAMP
1,Adventure|Animation|Children|Comedy|Fantasy,1995,1640984400
2,Adventure|Children|Fantasy,1995,1640984400
3,Comedy|Romance,1995,1640984400
4,Comedy|Drama|Romance,1995,1640984400
5,Comedy,1995,1640984400
6,Action|Crime|Thriller,1995,1640984400
7,Comedy|Romance,1995,1640984400
8,Adventure|Children,1995,1640984400
9,Action,1995,1640984400
10,Action|Adventure|Thriller,1995,1640984400
11,Comedy|Drama|Romance,1995,1640984400
12,Comedy|Horror,1995,1640984400
13,Adventure|Animation|Children,1995,1640984400
14,Drama,1995,1640984400
15,Action|Adventure|Romance,1995,1640984400
16,Crime|Drama,1995,1640984400
17,Drama|Romance,1995,1640984400
18,Comedy,1995,1640984400
19,Comedy,1995,1640984400
20,Action|Comedy|Crime|Drama|Thriller,1995,1640984400
21,Comedy|Crime|Thriller,1995,1640984400
22,Crime|Drama|Horror|Mystery|Thriller,1995,1640984400
23,Action|Crime|Thriller,1995,1640984400
24,Drama|Sci-Fi,1995,1640984400
25,Drama|Romance,1995,1640984400
26,Drama,1995,1640984400
27,Children|Drama,1995,1640984400
28,Drama|Romance,1995,1640984400
29,Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,1640984400
30,Crime|Drama,1995,1640984400
31,Drama,1995,1640984400
32,Mystery|Sci-Fi|Thriller,1995,1640984400
34,Children|Drama,1995,1640984400
36,Crime|Drama,1995,1640984400
38,Children|Comedy,1995,1640984400
39,Comedy|Romance,1995,1640984400
40,Drama,1995,1640984400
41,Drama|War,1995,1640984400
42,Action|Crime|Drama,1995,1640984400
43,Drama,1995,1640984400
44,Action|Adventure|Fantasy,1995,1640984400
45,Comedy|Drama|Thriller,1995,1640984400
46,Drama|Romance,1995,1640984400
47,Mystery|Thriller,1995,1640984400
48,Animation|Children|Drama|Musical|Romance,1995,1640984400
49,Drama|Romance,1995,1640984400
50,Crime|Mystery|Thriller,1995,1640984400
52,Comedy|Drama|Romance,1995,1640984400
53,Adventure|Drama,1994,1640984400
54,Children|Comedy,1995,1640984400
55,Drama,1995,1640984400
57,Drama,1995,1640984400
